date,game_time,event_id,competition_id,provider_id,provider_name,home_team,away_team,home_abbr,away_abbr,home_moneyline,away_moneyline,home_price_basis,away_price_basis,home_run_line,away_run_line,total_line,over_odds,under_odds,odds_items_count
2025-04-05,23:10,401695029,401695029,58,ESPN BET,Milwaukee Brewers,Cincinnati Reds,MIL,CIN,-120.0,100.0,close,close,0.0,-1.5,8.5,100.0,-120.0,2
2025-04-05,23:15,401695024,401695024,58,ESPN BET,Atlanta Braves,Miami Marlins,ATL,MIA,-265.0,215.0,close,close,0.0,1.5,8.5,-120.0,100.0,2
2025-04-05,00:10,401695033,401695033,58,ESPN BET,Colorado Rockies,Athletics,COL,ATH,-110.0,-110.0,close,close,0.0,-1.5,9.5,-105.0,-115.0,2
2025-04-05,01:05,401695035,401695035,58,ESPN BET,San Francisco Giants,Seattle Mariners,SF,SEA,-120.0,100.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-04-05,01:38,401695034,401695034,58,ESPN BET,Los Angeles Angels,Cleveland Guardians,LAA,CLE,130.0,-155.0,close,close,0.0,-1.5,8.5,-125.0,105.0,2
2025-04-06,17:35,401695036,401695036,58,ESPN BET,Washington Nationals,Arizona Diamondbacks,WSH,ARI,150.0,-180.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-06,17:35,401695038,401695038,58,ESPN BET,Philadelphia Phillies,Los Angeles Dodgers,PHI,LAD,105.0,-125.0,close,close,0.0,-1.5,7.5,105.0,-125.0,2
2025-04-06,17:35,401695039,401695039,,,Atlanta Braves,Miami Marlins,ATL,MIA,,,,,,,,,,1
2025-04-06,17:35,401695040,401695040,58,ESPN BET,Pittsburgh Pirates,New York Yankees,PIT,NYY,140.0,-165.0,close,close,0.0,-1.5,8.5,-115.0,-105.0,2
2025-04-06,17:35,401766602,401766602,58,ESPN BET,Boston Red Sox,St. Louis Cardinals,BOS,STL,-120.0,100.0,close,close,0.0,-1.5,8.5,-135.0,115.0,2
2025-04-06,17:40,401695037,401695037,58,ESPN BET,Detroit Tigers,Chicago White Sox,DET,CHW,-185.0,155.0,close,close,0.0,1.5,7.5,-110.0,-110.0,2
2025-04-06,17:40,401695042,401695042,58,ESPN BET,New York Mets,Toronto Blue Jays,NYM,TOR,-150.0,125.0,close,close,0.0,1.5,7.5,115.0,-135.0,2
2025-04-06,18:10,401695043,401695043,58,ESPN BET,Kansas City Royals,Baltimore Orioles,KC,BAL,-110.0,-110.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-06,18:10,401695044,401695044,58,ESPN BET,Milwaukee Brewers,Cincinnati Reds,MIL,CIN,-135.0,115.0,close,close,0.0,1.5,8.5,-115.0,-105.0,2
2025-04-06,18:10,401695045,401695045,58,ESPN BET,Minnesota Twins,Houston Astros,MIN,HOU,-115.0,-105.0,close,close,0.0,-1.5,8.5,-110.0,-110.0,2
2025-04-06,18:20,401695046,401695046,58,ESPN BET,Chicago Cubs,San Diego Padres,CHC,SD,-135.0,115.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-04-06,18:35,401695047,401695047,58,ESPN BET,Texas Rangers,Tampa Bay Rays,TEX,TB,-105.0,-115.0,close,close,0.0,-1.5,7.5,-125.0,105.0,2
2025-04-06,19:10,401695048,401695048,58,ESPN BET,Colorado Rockies,Athletics,COL,ATH,-120.0,100.0,close,close,0.0,-1.5,10.5,-115.0,-105.0,2
2025-04-06,20:05,401695050,401695050,58,ESPN BET,San Francisco Giants,Seattle Mariners,SF,SEA,-120.0,100.0,close,close,0.0,-1.5,7.5,105.0,-125.0,2
2025-04-06,20:07,401695049,401695049,58,ESPN BET,Los Angeles Angels,Cleveland Guardians,LAA,CLE,-110.0,-110.0,close,close,0.0,-1.5,9.5,-110.0,-110.0,2
2025-04-06,23:00,401695041,401695041,58,ESPN BET,Boston Red Sox,St. Louis Cardinals,BOS,STL,-130.0,110.0,close,close,0.0,1.5,9.5,-105.0,-115.0,2
2025-04-07,19:10,401695053,401695053,58,ESPN BET,Detroit Tigers,New York Yankees,DET,NYY,125.0,-150.0,close,close,0.0,-1.5,8.5,-110.0,-110.0,2
2025-04-07,22:40,401695054,401695054,58,ESPN BET,Pittsburgh Pirates,St. Louis Cardinals,PIT,STL,-105.0,-115.0,close,close,0.0,-1.5,8.5,-105.0,-115.0,2
2025-04-07,22:45,401695051,401695051,58,ESPN BET,Washington Nationals,Los Angeles Dodgers,WSH,LAD,150.0,-180.0,close,close,0.0,-1.5,7.5,-120.0,100.0,2
2025-04-07,22:45,401695055,401695055,58,ESPN BET,Boston Red Sox,Toronto Blue Jays,BOS,TOR,-130.0,110.0,close,close,0.0,1.5,8.5,100.0,-120.0,2
