team,net_team,match_source,match_score,needs_review
Cincinnati Bearcats,Cincinnati,alias_exact,1.0,False
Claflin Panthers,,unmatched,0.0,True
Clemson Tigers,Clemson,alias_exact,1.0,False
Cleveland State Vikings,Cleveland St.,alias_exact,1.0,False
Clinton College Golden Bears,,unmatched,0.0,True
Coastal Carolina Chanticleers,Coastal Carolina,alias_exact,1.0,False
Coastal Georgia Mariner,,unmatched,0.0,True
Colby-Sawyer Chargers,,unmatched,0.0,True
Colgate Raiders,Colgate,alias_exact,1.0,False
College Of Biblical Studies Ambassadors,,unmatched,0.0,True
College Of St Mary Flames,,unmatched,0.0,True
Colorado Buffaloes,Colorado,alias_exact,1.0,False
Colorado Christian Cougars,,unmatched,0.0,True
Colorado State Rams,Colorado St.,alias_exact,1.0,False
Columbia College (MO) Cougars,,unmatched,0.0,True
Columbia College (SC) Koalas,,unmatched,0.0,True
Columbia International COLUMBIA INTERNATIONAL,,unmatched,0.0,True
Columbia Lions,Columbia,alias_exact,1.0,False
Concord Mountain Lions,,unmatched,0.0,True
Concordia Moorhead Cobbers,,unmatched,0.0,True
Concordia-Texas Tornados,,unmatched,0.0,True
Coppin State Eagles,Coppin St.,alias_exact,1.0,False
Corban University Warriors,,unmatched,0.0,True
Cornell Big Red,,unmatched,0.0,True
Creighton Bluejays,Creighton,alias_exact,1.0,False
Crown College Storm,,unmatched,0.0,True
Dallas Crusaders,,unmatched,0.0,True
Dartmouth Big Green,,unmatched,0.0,True
Davenport Panthers,,unmatched,0.0,True
Davidson Wildcats,Davidson,alias_exact,1.0,False
Davis & Elkins Senators,,unmatched,0.0,True
Dayton Flyers,Dayton,alias_exact,1.0,False
DePaul Blue Demons,DePaul,alias_exact,1.0,False
Defiance Yellow Jackets,,unmatched,0.0,True
Delaware Blue Hens,,unmatched,0.0,True
Delaware State Hornets,Delaware St.,alias_exact,1.0,False
Delta State Statesmen,,unmatched,0.0,True
Denver Pioneers,Denver,alias_exact,1.0,False
Detroit Mercy Titans,Detroit Mercy,alias_exact,1.0,False
Dickinson State (ND) Blue Hawks,,unmatched,0.0,True
Dillard Blue Devils,,unmatched,0.0,True
District Of Columbia DISTRICT OF COLUMBIA,,unmatched,0.0,True
Drake Bulldogs,Drake,alias_exact,1.0,False
Drexel Dragons,Drexel,alias_exact,1.0,False
Duke Blue Devils,Duke,alias_exact,1.0,False
Duquesne Dukes,Duquesne,alias_exact,1.0,False
E. New Mexico Greyhounds,New Mexico,alias_fuzzy,0.9091,False
East Carolina Pirates,East Carolina,alias_exact,1.0,False
East Tennessee State Bucs,,unmatched,0.0,True
East Texas A&M Lions,East Texas A&M,alias_exact,1.0,False
Eastern Illinois Panthers,Eastern Ill.,alias_exact,1.0,False
Eastern Kentucky Colonels,Eastern Ky.,alias_exact,1.0,False
Eastern Michigan Eagles,Eastern Mich.,alias_exact,1.0,False
Eastern Washington Eagles,Eastern Wash.,alias_exact,1.0,False
Ecclesia Royals,,unmatched,0.0,True
Edward Waters Tigers,,unmatched,0.0,True
Elizabeth City State Vikings,,unmatched,0.0,True
Elon Phoenix,Elon,alias_exact,1.0,False
Embry-Riddle (AZ) Eagles,,unmatched,0.0,True
Emmanuel (MA) Lions,,unmatched,0.0,True
Emory & Henry Wasps,,unmatched,0.0,True
Erskine Flying Fleet,,unmatched,0.0,True
Eureka Red Devils,,unmatched,0.0,True
Evansville Purple Aces,,unmatched,0.0,True
Evergreen State Geoducks,,unmatched,0.0,True
Fairfield Stags,Fairfield,alias_exact,1.0,False
Fairleigh Dickinson Knights,FDU,alias_exact,1.0,False
Faulkner Eagles,,unmatched,0.0,True
Felician Golden Falcons,,unmatched,0.0,True
Ferrum Panthers,,unmatched,0.0,True
Fisk Bulldogs,,unmatched,0.0,True
Florida A&M Rattlers,Florida A&M,alias_exact,1.0,False
Florida Atlantic Owls,Fla. Atlantic,alias_exact,1.0,False
Florida Gators,Florida,alias_exact,1.0,False
Florida Gulf Coast Eagles,FGCU,alias_exact,1.0,False
Florida International Panthers,FIU,alias_exact,1.0,False
Florida National Conquistadors,,unmatched,0.0,True
Florida State Seminoles,Florida St.,alias_exact,1.0,False
Florida Tech Panthers,,unmatched,0.0,True
Fordham Rams,Fordham,alias_exact,1.0,False
Fort Lauderdale Eagles,,unmatched,0.0,True
Franklin Pierce Ravens,,unmatched,0.0,True
Fresno State Bulldogs,Fresno St.,alias_exact,1.0,False
Frostburg State Bobcats,,unmatched,0.0,True
Furman Paladins,Furman,alias_exact,1.0,False
Gardner-Webb Runnin' Bulldogs,Gardner-Webb,alias_exact,1.0,False
Geneva Golden Tornadoes,,unmatched,0.0,True
George Mason Patriots,George Mason,alias_exact,1.0,False
George Washington Revolutionaries,George Washington,alias_exact,1.0,False
Georgetown College (KY) Tigers,,unmatched,0.0,True
Georgetown Hoyas,Georgetown,alias_exact,1.0,False
Georgia Lady Bulldogs,,unmatched,0.0,True
Georgia Southern Eagles,Ga. Southern,alias_exact,1.0,False
Georgia Southwestern Hurricanes,,unmatched,0.0,True
Georgia State Panthers,Georgia St.,alias_exact,1.0,False
